,EXTERNATO CHAMPAGNAT 
,Semana de 2 a 6 de setembro 
Segunda ,
Sopa ,Creme de cenoura 
Prato ,Peito de peru assado com laranja e arroz de ervilhas 
Dieta ,Bifes de peru grelhados c/ arroz branco 
Salada/legumes ,Cogumelos estufados com cenoura e espinafre 
Vegetariana ,"Legumes assados (cenoura, cogumelos e curgete) com laranja e arroz de ervilhas "
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Juliana 
Prato ,Bolonhesa de atum 
Dieta ,Pescada cozida c/ batata e legumes 
Salada/legumes ,Grelos salteados 
Vegetariana ,"Esparguete com legumes estufados (couve portuguesa, feijão manteiga, cenoura) "
Sobremesa ,Pudim flan / fruta da época 
,Iogurte e pão com chourição ou com creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Quarta ,
Sopa ,Caldo verde 
Prato ,Almondegas de aves com puré de batata 
Dieta ,Bifes de frango grelhados com batata cozida 
Salada/legumes ,"Salada de Alface, pepino e milho "
Vegetariana ,Lentilhas estufadas com puré 
Sobremesa ,Fruta da época 
,Sumo ou Leite simples e pão com queijo ou creme vegetal ou fruta 
Lanche ,
,Sumo ou leite de soja e pão com creme vegetal ou fruta 
Quinta ,
Sopa ,Nabiças com grão 
Prato ,Caldeirada de peixe com pimento e tomate 
Dieta ,Pescada cozida com batata cozida 
Salada/legumes ,Salada de alface e pepino 
Vegetariana ,Couscous de legumes com tofu 
Sobremesa ,Fruta da época 
,Iogurte e pão com fiambre de peru ou creme vegetal ou fruta 
Lanche ,
,Iogurte de soja e pão com creme vegetal ou fruta 
Sexta ,
Sopa ,Creme Alho francês 
Prato ,Croquetes de carne de vaca com arroz branco 
,Bife de frango grelhado com arroz branco 
Dieta ,
,"Salada de alface, cenoura e milho "
Salada/legumes ,"Caldeirada de grão com batata, pimento e tomate "
Vegetariana ,
,Fruta da época 
Sobremesa ,
,Leite simples e pão com compota ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com compota ou creme vegetal ou fruta 
Ementa elaborada de acordo com a Circular Nº 3/DSEEAS/DGE/2013 ”Orientações sobre ementas e refeitórios escolares“ ,
Publicada em 11/09/2019 ,
,EXTERNATO CHAMPAGNAT 
,Semana de 9 a 13 de setembro 
Segunda ,
Sopa ,Creme de ervilhas 
Prato ,Lombo de porco assado com castanhas e arroz de cenoura 
Dieta ,Bife de frango grelhado c/ arroz 
Salada/legumes ,Salada alface e tomate 
Vegetariana ,Soja estufada com castanhas e arroz de cenoura 
Sobremesa ,Fruta da época 
,Leite c/ chocolate ou simples e pão com fiambre ou creme vegetal ou fruta 
Lanche ,
,Leite de soja (ou equivalente) e pão com creme vegetal ou fruta 
Terça ,
Sopa ,Sopa de feijão verde laminado 
Prato ,Bacalhau com natas (batata cozida) 
Dieta ,Bacalhau cozido com batata e cenoura cozida 
Salada/legumes ,"Alface, cenoura e beterraba "
